ticker,naics4,aiie,ai_per_10k_words,ai_mentions_any,accession
CDXC,3254,0.4637086,0.0,0,0001628280-22-006041
MRCY,3344,0.6828295,1.7335829692809095,1,0001049521-22-000046
NSC,4885,1.024609,0.0,0,0000702165-22-000007
BTCS,5112,1.966309,0.0,0,0001493152-22-006666
OSG,4831,-0.3280049,0.0,0,0001493152-22-006400
TCS,4422,0.049807,0.0,0,0001558370-22-009663
OTIS,3344,0.6828295,0.0,0,0001781335-22-000007
PWFL,3342,1.181725,1.0143530963128264,1,0001493152-22-007009
EBIX,5415,1.860226,0.0,0,0001628280-22-005616
WMG,3231,-0.2099964,0.4573676206592954,1,0001319161-22-000035
AQUA,3333,0.3308995,0.0,0,0001604643-22-000124
SGMA,3344,0.6828295,0.0,0,0000915358-22-000010
