date,mktrf,rf,mktret
2022-11-16,-0.0102,0.0001,-0.010100000000000001
2022-11-17,-0.0042,0.0001,-0.0040999999999999995
2022-11-18,0.004,0.0001,0.0041
2022-11-21,-0.0052,0.0001,-0.0050999999999999995
2022-11-22,0.0136,0.0001,0.013699999999999999
2022-11-23,0.0063,0.0001,0.0064
2022-11-25,-0.0003,0.0001,-0.00019999999999999998
2022-11-28,-0.0155,0.0001,-0.0154
2022-11-29,-0.0018,0.0001,-0.0017
2022-11-30,0.0312,0.0001,0.0313
2022-12-01,-0.0002,0.0002,0.0
2022-12-02,-0.0008,0.0002,-0.0006000000000000001
2022-12-05,-0.0202,0.0002,-0.02
2022-12-06,-0.0151,0.0002,-0.0149
2022-12-07,-0.0024,0.0002,-0.0021999999999999997
2022-12-08,0.0076,0.0002,0.0078
2022-12-09,-0.008,0.0002,-0.0078000000000000005
2022-12-12,0.0141,0.0002,0.0143
2022-12-13,0.0066,0.0002,0.0068
2022-12-14,-0.0056,0.0002,-0.0054
2022-12-15,-0.0257,0.0002,-0.025500000000000002
2022-12-16,-0.0102,0.0002,-0.01
2022-12-19,-0.01,0.0002,-0.0098
2022-12-20,0.0013,0.0002,0.0015
2022-12-21,0.0153,0.0002,0.0155
2022-12-22,-0.0152,0.0002,-0.015
2022-12-23,0.0052,0.0002,0.005399999999999999
2022-12-27,-0.005,0.0002,-0.0048000000000000004
2022-12-28,-0.0124,0.0002,-0.012199999999999999
2022-12-29,0.0187,0.0002,0.0189
2022-12-30,-0.0022,0.0002,-0.002
2023-01-03,-0.0047,0.0002,-0.0045000000000000005
2023-01-04,0.0081,0.0002,0.0083
2023-01-05,-0.0114,0.0002,-0.0112
2023-01-06,0.0221,0.0002,0.0223
2023-01-09,0.0003,0.0002,0.0005
2023-01-10,0.0079,0.0002,0.008100000000000001
2023-01-11,0.0125,0.0002,0.012700000000000001
2023-01-12,0.0045,0.0002,0.004699999999999999
2023-01-13,0.0046,0.0002,0.0048
2023-01-17,-0.0018,0.0002,-0.0015999999999999999
2023-01-18,-0.0155,0.0002,-0.0153
2023-01-19,-0.0086,0.0002,-0.0084
2023-01-20,0.0194,0.0002,0.0196
2023-01-23,0.0128,0.0002,0.013000000000000001
2023-01-24,-0.0016,0.0002,-0.0014
2023-01-25,0.0,0.0002,0.0002
2023-01-26,0.0108,0.0002,0.011000000000000001
2023-01-27,0.0034,0.0002,0.0036
2023-01-30,-0.0138,0.0002,-0.0136
2023-01-31,0.0158,0.0002,0.016
2023-02-01,0.0119,0.0002,0.012100000000000001
2023-02-02,0.0154,0.0002,0.015600000000000001
2023-02-03,-0.0108,0.0002,-0.0106
2023-02-06,-0.0073,0.0002,-0.0071
2023-02-07,0.0125,0.0002,0.012700000000000001
2023-02-08,-0.0118,0.0002,-0.0116
2023-02-09,-0.0094,0.0002,-0.0092
2023-02-10,0.0012,0.0002,0.0014
2023-02-13,0.0114,0.0002,0.011600000000000001
2023-02-14,0.0012,0.0002,0.0014
2023-02-15,0.005,0.0002,0.0052
2023-02-16,-0.0137,0.0002,-0.0135
2023-02-17,-0.0028,0.0002,-0.0026
2023-02-21,-0.0216,0.0002,-0.021400000000000002
2023-02-22,-0.0004,0.0002,-0.0002
2023-02-23,0.0047,0.0002,0.0049
2023-02-24,-0.0108,0.0002,-0.0106
2023-02-27,0.0031,0.0002,0.0033
2023-02-28,-0.0026,0.0002,-0.0024
2023-03-01,-0.0041,0.0002,-0.0039000000000000003
2023-03-02,0.0067,0.0002,0.0069
2023-03-03,0.0161,0.0002,0.0163
2023-03-06,-0.0013,0.0002,-0.0010999999999999998
2023-03-07,-0.0145,0.0002,-0.0143
2023-03-08,0.0008,0.0002,0.001
2023-03-09,-0.0202,0.0002,-0.02
2023-03-10,-0.0168,0.0002,-0.0166
2023-03-13,-0.0034,0.0002,-0.0031999999999999997
2023-03-14,0.0172,0.0002,0.0174
2023-03-15,-0.0079,0.0002,-0.007700000000000001
2023-03-16,0.0176,0.0002,0.0178
2023-03-17,-0.0121,0.0002,-0.011899999999999999
2023-03-20,0.0084,0.0002,0.0086
2023-03-21,0.0149,0.0002,0.0151
2023-03-22,-0.0174,0.0002,-0.0172
2023-03-23,0.0021,0.0002,0.0023
2023-03-24,0.0046,0.0002,0.0048
2023-03-27,0.0028,0.0002,0.003
2023-03-28,-0.0017,0.0002,-0.0014999999999999998
2023-03-29,0.0139,0.0002,0.0141
2023-03-30,0.0051,0.0002,0.0053
2023-03-31,0.0153,0.0002,0.0155
2023-04-03,0.0028,0.0002,0.003
