state,company_raw,notice_date,n_employees,city,layoff_type,source
CA,"Snap, Inc. wholly owned subsidiary of PSA Risk
Management Services Inc.",2022-08-31,40.0,,Layoff Permanent,ca_2022_23.pdf
CA,"GoodRx, Inc.",2022-08-31,69.0,,Layoff Permanent,ca_2022_23.pdf
CA,Elwyn California,2022-09-01,51.0,,Layoff Permanent,ca_2022_23.pdf
CA,Bakersfield Physical Therapy Clinic,2022-09-01,9.0,,Closure Permanent,ca_2022_23.pdf
CA,USRA at AFRC,2022-09-01,17.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at AFRC,2022-09-01,5.0,,Layoff Permanent,ca_2022_23.pdf
CA,"ABM Industry Groups, LLC",2022-09-01,66.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Curative, Inc.",2022-09-02,109.0,,Closure Permanent,ca_2022_23.pdf
CA,"Reali, Inc.",2022-09-03,132.0,,Closure Permanent,ca_2022_23.pdf
CA,Syncreon,2022-09-06,33.0,,Closure Permanent,ca_2022_23.pdf
CA,Fresh Ideas Flower Company,2022-09-06,13.0,,Layoff Permanent,ca_2022_23.pdf
CA,Bakersfield Heart Hospital,2022-09-06,115.0,,Layoff Permanent,ca_2022_23.pdf
CA,Sierra Monitor Corporation,2022-09-07,26.0,,Closure Permanent,ca_2022_23.pdf
CA,Bristol-Myers Squibb,2022-09-07,92.0,,Closure Permanent,ca_2022_23.pdf
CA,Bristol-Myers Squibb,2022-09-07,169.0,,Closure Permanent,ca_2022_23.pdf
CA,Hobie Cat Co.,2022-09-07,137.0,,Layoff Permanent,ca_2022_23.pdf
CA,Arris Composites,2022-09-07,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Arris Composites,2022-09-07,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Arris Composites,2022-09-07,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,Arris Composites,2022-09-07,62.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Triple B Corporation at Jardines Farming and
Harvesting Operations",2022-09-08,48.0,,Closure Permanent,ca_2022_23.pdf
CA,Temple-Culberson Enterprises LLC,2022-09-08,50.0,,Closure Permanent,ca_2022_23.pdf
