date,mktrf,rf,smb,hml,umd,mktret
2024-11-19,0.0049,0.0002,0.008,-0.0161,0.0132,0.0050999999999999995
2024-11-20,0.0004,0.0002,-0.0001,-0.0011,-0.0026,0.0006000000000000001
2024-11-21,0.0065,0.0002,0.0081,0.0028,-0.0022,0.006699999999999999
2024-11-22,0.0053,0.0002,0.0125,0.0043,-0.0037,0.0055
2024-11-25,0.0041,0.0002,0.0108,0.0022,-0.0129,0.0043
2024-11-26,0.0042,0.0002,-0.0093,-0.0068,0.0122,0.004399999999999999
2024-11-27,-0.0039,0.0002,0.0027,0.0049,-0.0082,-0.0036999999999999997
2024-11-29,0.0054,0.0002,0.0013,-0.0064,0.0007,0.0056
2024-12-02,0.0023,0.0002,0.0045,-0.0066,-0.0065,0.0025
2024-12-03,0.0004,0.0002,-0.0057,-0.0055,0.0091,0.0006000000000000001
2024-12-04,0.007,0.0002,0.0041,-0.0122,0.0061,0.0072
2024-12-05,-0.0028,0.0002,-0.0111,0.0047,0.007,-0.0026
2024-12-06,0.0035,0.0002,0.0061,-0.0105,0.0017,0.0037
2024-12-09,-0.0073,0.0002,0.0041,0.0011,-0.0279,-0.0071
2024-12-10,-0.0036,0.0002,-0.0002,0.0012,-0.0005,-0.0034
2024-12-11,0.0087,0.0002,0.0017,-0.0058,0.0136,0.0089
2024-12-12,-0.0062,0.0002,-0.0086,0.0043,-0.0018,-0.006
2024-12-13,-0.0005,0.0002,-0.0048,-0.003,0.0068,-0.00030000000000000003
2024-12-16,0.0046,0.0002,0.0074,-0.0102,0.0114,0.0048
2024-12-17,-0.0049,0.0002,-0.0042,-0.0058,-0.0066,-0.0047
2024-12-18,-0.0317,0.0002,-0.0141,0.0007,-0.0085,-0.0315
2024-12-19,-0.0012,0.0002,-0.0026,0.0001,0.0095,-0.0009999999999999998
2024-12-20,0.0107,0.0002,-0.0015,0.0007,0.0021,0.0109
2024-12-23,0.0061,0.0002,-0.007,-0.002,-0.0006,0.0063
2024-12-24,0.0111,0.0002,-0.0009,-0.0005,0.0067,0.011300000000000001
2024-12-26,0.0001,0.0002,0.0103,-0.0018,0.0001,0.00030000000000000003
2024-12-27,-0.0117,0.0002,-0.0065,0.0055,-0.0085,-0.0115
2024-12-30,-0.0109,0.0002,0.0013,0.0074,0.0008,-0.0107
2024-12-31,-0.0046,0.0002,0.0002,0.0071,-0.0108,-0.0044
2025-01-02,-0.0016,0.0002,0.001,-0.0029,0.0048,-0.0014
2025-01-03,0.0134,0.0002,0.006,-0.0092,0.0082,0.013600000000000001
2025-01-06,0.0055,0.0002,-0.0038,-0.0032,0.0,0.005699999999999999
2025-01-07,-0.0118,0.0002,-0.0036,0.0082,-0.0158,-0.0116
2025-01-08,0.001,0.0002,-0.0059,-0.0009,0.0074,0.0012000000000000001
2025-01-10,-0.0155,0.0002,-0.009,-0.0018,-0.0042,-0.0153
2025-01-13,0.0012,0.0002,-0.0058,0.0119,-0.0095,0.0014
2025-01-14,0.0017,0.0002,0.0035,0.0167,0.0078,0.0019
2025-01-15,0.0191,0.0002,0.0025,0.0014,0.016,0.019299999999999998
2025-01-16,-0.0019,0.0002,0.0,0.0018,-0.0052,-0.0017
2025-01-17,0.0096,0.0002,-0.0053,0.0012,0.008,0.0098
2025-01-21,0.0096,0.0002,0.0113,-0.0101,0.0035,0.0098
2025-01-22,0.0054,0.0002,-0.0045,-0.0121,0.0073,0.0056
2025-01-23,0.0048,0.0002,0.0005,-0.0027,-0.0051,0.004999999999999999
2025-01-24,-0.0027,0.0002,-0.0015,0.0068,0.0002,-0.0025
2025-01-27,-0.0149,0.0002,-0.0065,0.0245,-0.0329,-0.0147
2025-01-28,0.0092,0.0002,0.0017,-0.0164,0.0187,0.0094
2025-01-29,-0.0042,0.0002,-0.0003,0.0052,0.0019,-0.004
2025-01-30,0.0058,0.0002,0.0038,-0.0001,0.0061,0.005999999999999999
2025-01-31,-0.0053,0.0002,-0.0027,-0.0018,0.005,-0.0051
2025-02-03,-0.0082,0.0002,-0.0072,-0.0025,0.0021,-0.008
2025-02-04,0.0077,0.0002,0.0098,-0.0013,0.0048,0.0079
2025-02-05,0.0039,0.0002,0.0047,0.003,0.0033,0.0040999999999999995
2025-02-06,0.0029,0.0002,-0.0055,0.0058,0.011,0.0031
2025-02-07,-0.0098,0.0002,-0.004,0.0001,0.0,-0.0096
2025-02-10,0.0066,0.0002,0.0029,-0.0109,-0.0035,0.0068
2025-02-11,-0.0014,0.0002,-0.0069,0.0126,-0.0066,-0.0012
2025-02-12,-0.0031,0.0002,-0.0049,-0.0061,0.0009,-0.0029
2025-02-13,0.011,0.0002,0.0032,-0.0011,0.0037,0.0112
2025-02-14,0.0002,0.0002,-0.0018,0.0048,0.0006,0.0004
2025-02-18,0.0025,0.0002,-0.0011,0.0023,-0.0074,0.0027
2025-02-19,0.0009,0.0002,-0.0062,-0.0008,-0.0032,0.0011
2025-02-20,-0.0061,0.0002,-0.0046,-0.0017,-0.0123,-0.005900000000000001
2025-02-21,-0.019,0.0002,-0.0111,0.0072,-0.0134,-0.0188
2025-02-24,-0.0057,0.0002,-0.0099,0.0118,-0.012,-0.0055000000000000005
2025-02-25,-0.0058,0.0002,-0.0011,0.0067,-0.0049,-0.0056
2025-02-26,0.0002,0.0002,0.0016,-0.0031,0.0146,0.0004
2025-02-27,-0.0165,0.0002,-0.0093,0.0214,-0.0071,-0.016300000000000002
2025-02-28,0.0159,0.0002,-0.008,0.0013,0.0145,0.0161
2025-03-03,-0.0192,0.0002,-0.0123,0.0104,-0.0026,-0.019
2025-03-04,-0.0127,0.0002,0.0095,-0.0209,-0.0079,-0.012499999999999999
2025-03-05,0.0116,0.0002,0.0037,-0.0082,-0.0032,0.0118
2025-03-06,-0.0192,0.0002,-0.0011,0.009,-0.0264,-0.019
2025-03-07,0.0047,0.0002,-0.0003,-0.0036,-0.0111,0.0049
2025-03-10,-0.029,0.0002,-0.0074,0.0064,-0.0217,-0.028800000000000003
2025-03-11,-0.0063,0.0002,0.0098,-0.0011,0.016,-0.0061
2025-03-12,0.0051,0.0002,-0.0001,-0.0028,0.0194,0.0053
2025-03-13,-0.0149,0.0002,-0.0099,0.0139,-0.0037,-0.0147
2025-03-14,0.0221,0.0002,0.003,0.0011,0.0081,0.0223
2025-03-17,0.0072,0.0002,0.0018,0.0015,-0.0081,0.0073999999999999995
2025-03-18,-0.0113,0.0002,-0.0028,0.0101,-0.0074,-0.011099999999999999
2025-03-19,0.012,0.0002,0.0053,-0.0038,0.0141,0.0122
2025-03-20,-0.0024,0.0002,-0.0045,0.0024,0.0022,-0.0021999999999999997
2025-03-21,0.0008,0.0002,-0.0026,-0.0071,0.0063,0.001
2025-03-24,0.0193,0.0002,0.0075,-0.0039,0.0077,0.0195
2025-03-25,0.0012,0.0002,-0.0094,0.0005,0.0087,0.0014
2025-03-26,-0.0122,0.0002,-0.0046,0.015,-0.01,-0.012
2025-03-27,-0.0042,0.0002,0.0019,0.003,-0.0048,-0.004
2025-03-28,-0.0207,0.0002,-0.0048,0.0039,0.0024,-0.0205
2025-03-31,0.0039,0.0002,-0.0108,0.0036,0.0069,0.0040999999999999995
2025-04-01,0.004,0.0002,-0.0038,0.0004,0.0075,0.0042
2025-04-02,0.0081,0.0002,0.0082,-0.0012,-0.0033,0.0083
