notice_date,company_raw,county,n_employees,layoff_type,city,source,state
2022-09-30,Airgas,Los Angeles County,28.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-08-04,"Oracle America, Inc.",San Mateo County,201.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-29,Skinny Labs Inc. dba SPIN,San Francisco County,49.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-30,"Alforex Seeds, LLC wholly owned subsidiary of Corteva,
Inc.",Yolo County,7.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-03,"Buca Restaurants 2, Inc. dba Buca di Beppo Italian
Restaurant",San Diego County,44.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-07,The Honest Kitchen,Los Angeles County,6.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-06,BioMarin Pharmaceutical Inc.,Marin County,62.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-06,BioMarin Pharmaceutical Inc.,Marin County,32.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-10,"Grocery Delivery E-Services USA, Inc. dba HelloFresh",Contra Costa County,611.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-06,King's Fish House,San Bernardino County,94.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-11,Clear Capital,Placer County,108.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-11,"Keeco, LLC",San Bernardino County,168.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-14,"Colonial Savings, F.A.",Orange County,27.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-14,"Colonial Savings, F.A.",Orange County,27.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-18,"Astreya Partners, LLC at Meta Platforms Inc. facility",Alameda County,144.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-10,"Acuity Brands Lighting, Inc. dba Sunoptics",Sacramento County,98.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-17,Egomotion Corp. dba Zeus Living,San Francisco County,31.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-17,CS DPS Holdings G4 Facility,Los Angeles County,103.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-20,"Starry, Inc.",Los Angeles County,56.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-20,Jabil Inc.,Orange County,73.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-20,Jabil Inc.,Santa Clara County,484.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-18,Zymergen Inc.,Alameda County,110.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-20,Ademco Inc.,San Diego County,127.0,Layoff Temporary,,ca_2022_23.pdf,CA
2022-10-24,"Jabil, Inc.",Alameda County,549.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-24,"Jabil, Inc.",Alameda County,123.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-25,FormFactor,Alameda County,52.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-24,Zekelman Industries dba Western Tube,Los Angeles County,170.0,Closure Permanent,,ca_2022_23.pdf,CA
