state,company_raw,notice_date,n_employees,city,county,layoff_type,source
OR,Portland - Production and Maintenance P,2024-10-17,49.0,Portland,,Permanent closure,warn_or.json
OR,Aloha Facility,2024-10-15,28.0,Aloha,,Large Layoff - 10 or more workers,warn_or.json
OR,"Century Blvd., Hillsboro",2024-10-15,514.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,"Elam Young Pkwy., Hillsboro",2024-10-15,124.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,"25th Ave., Hillsboro",2024-10-15,634.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Cornerstone Building Brands,2024-10-15,76.0,Tualatin,,Permanent closure,warn_or.json
OR,Hillsboro Worksite,2024-09-26,150.0,Hillsboro,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2024-09-06,5.0,,,Reduction,warn_or.json
WI,"Lost Boys Interactive, LLC",2024-09-06,134.0,Madison,,Large Layoff - 10 or more workers,warn_or.json
OR,Willamette Falls Paper Company,2024-08-06,158.0,West Linn,,Large Layoff - 10 or more workers,warn_or.json
OR,Walker Rd - Hillsboro,2024-07-23,37.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Walker Rd - Hillsboro,2024-07-23,16.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Walker Rd - Hillsboro,2024-07-23,1.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2024-07-23,2.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2024-07-23,95.0,Hillsboro,,Permanent closure,warn_or.json
OR,Hazelnut Growers of Oregon,2024-07-02,4.0,Aurora,,Permanent closure,warn_or.json
OR,Hazelnut Growers of Oregon,2024-07-02,65.0,Aurora,,Large Layoff - 10 or more workers,warn_or.json
OR,OHSU,2024-07-01,297.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,OHSU,2024-06-07,142.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Oregon - Remote Employees,2024-05-29,37.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,"Campbell Soup Supply Company, LLC",2024-05-28,200.0,Tualatin,,Large Layoff - 10 or more workers,warn_or.json
OR,"Campbell Soup Supply Company, LLC",2024-05-28,10.0,Tualatin,,Large Layoff - 10 or more workers,warn_or.json
OR,"Campbell Soup Supply Company, LLC",2024-05-28,120.0,Tualatin,,Large Layoff - 10 or more workers,warn_or.json
OR,Lignetics,2024-05-10,5.0,Cascade Locks,,Reduction,warn_or.json
OR,Lignetics,2024-05-10,1.0,Cascade Locks,,Reduction,warn_or.json
OR,Lignetics,2024-05-10,2.0,Cascade Locks,,Reduction,warn_or.json
OR,Multnomah University,2024-05-07,88.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Portland Manufacturing Site,2024-04-22,75.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,"NIKE, Inc.",2024-04-19,740.0,Beaverton,,Reduction,warn_or.json
CA,"Block, Inc.",2024-04-02,20.0,Oakland,,Large Layoff - 10 or more workers,warn_or.json
CA,"Volta Charging Industries, LLC",2024-03-29,171.0,San Francisco,,Permanent closure,warn_or.json
CA,"Osso VR, Inc.",2024-03-28,67.0,San Francisco,,Large Layoff - 10 or more workers,warn_or.json
CA,"Bionano Genomics, Inc.",2024-03-21,76.0,San Diego,,Reduction,warn_or.json
OR,"Bornstein Seafoods, Inc - Newport Facil",2024-03-22,50.0,Newport,,Permanent closure,warn_or.json
OR,Adventist Health of Tillamook,2024-03-07,22.0,Tillamook,,Reduction,warn_or.json
OR,Wieden + Kennedy,2024-02-23,87.0,Portland,,Reduction,warn_or.json
OR,Portland Day Sort,2024-02-13,350.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,Philomath Division - Industrial Way Mil,2024-02-15,58.0,Philomath,,Large Layoff - 10 or more workers,warn_or.json
OR,Interfor U.S. Inc,2024-02-15,42.0,Philomath,,Large Layoff - 10 or more workers,warn_or.json
OR,Remote Workers - Oregon,2024-01-30,46.0,,,Large Layoff - 10 or more workers,warn_or.json
OR,RNDC - Bend Location,2024-01-30,4.0,Bend,,Permanent closure,warn_or.json
OR,RNDC - Medford Location #1,2024-01-30,1.0,Medford,,Permanent closure,warn_or.json
OR,RNDC - Eugene Location,2024-01-30,3.0,Eugene,,Permanent closure,warn_or.json
OR,RNDC - Portland Location,2024-01-30,67.0,Portland,,Permanent closure,warn_or.json
OR,RNDC - Medford Location #2,2024-01-30,3.0,Medford,,Permanent closure,warn_or.json
OR,Oregon - Remote Employees,2024-01-11,4.0,,,Reduction,warn_or.json
WI,"Lost Boys Interactive, LLC",2024-01-11,121.0,Madison,,Large Layoff - 10 or more workers,warn_or.json
OR,Portland - Site,2023-12-01,62.0,Portland,,Permanent closure,warn_or.json
