company,ticker,cik,edgar_filings_url,edgar_fulltext_url,trigger,lookback_months,discretion,covers_former,severance_link,adopted_date,source_url,confidence
CALIFORNIA WATER SERVICE GP,CWT,0001035201,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001035201&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001035201,,,,,,,,
ST JOE CO,JOE,0000745308,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000745308&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000745308,,,,,,,,
DIGI INTERNATIONAL INC,DGII,0000854775,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000854775&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000854775,,,,,,,,
ARCBEST CORP,ARCB,0000894405,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000894405&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000894405,,,,,,,,
GENTHERM INC,THRM,0000903129,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000903129&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000903129,,,,,,,,
M/I HOMES INC,MHO,0000799292,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000799292&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000799292,,,,,,,,
CUSTOMERS BANCORP INC,CUBI,0001488813,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001488813&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001488813,,,,,,,,
AXOS FINANCIAL INC,AX,0001299709,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001299709&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001299709,,,,,,,,
CHEFS' WAREHOUSE INC,CHEF,0001517175,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001517175&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0001517175,,,,,,,,
ABM INDUSTRIES INC,ABM,0000771497,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000771497&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000771497,,,,,,,,
SOUTHSIDE BANCSHARES INC,SBSI,0000705432,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000705432&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000705432,,,,,,,,
N B T BANCORP INC,NBTB,0000790359,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000790359&type=10-K&dateb=&owner=include&count=20,https://efts.sec.gov/LATEST/search-index?q=%22erroneously+awarded+compensation%22&cik=0000790359,,,,,,,,
